trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,9,-92.07390725163636,"{0: 4, 1: 0, 2: 6, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,7,-179.75455068302927,"{0: 5, 1: 0, 2: 11, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,13,-21.58736867613932,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,8,-131.0304779964524,"{0: 4, 1: 0, 2: 6, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,8,-133.2277465655531,"{0: 4, 1: 0, 2: 6, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,9,-61.74239606619385,"{0: 4, 1: 0, 2: 7, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,16,8.947936603422333,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,11,-139.25236088529516,"{0: 5, 1: 0, 2: 7, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,14,-54.36142370241619,"{0: 5, 1: 0, 2: 6, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,13,-53.07960472895627,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,11,-71.90420792368498,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,13,-22.23721418862391,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,12,-221.16992236431435,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 5}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,11,-43.11796885689511,"{0: 4, 1: 0, 2: 5, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,20,9.501698215323039,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,17,-16.0302198522295,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,13,-159.7302134920834,"{0: 6, 1: 0, 2: 9, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,10,-81.56996506302595,"{0: 4, 1: 0, 2: 5, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,14,-12.339103784010312,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,14,-14.817144252250248,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,16,-157.2790010423476,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 3}",1
2,True,"{'a': 0, 'e': 0}",25,10,-208.52087585438113,"{0: 5, 1: 0, 2: 6, 3: 0, 4: 4}",1
3,True,"{'a': 0, 'e': 0}",30,13,-189.91415578605617,"{0: 6, 1: 0, 2: 8, 3: 0, 4: 3}",1
4,True,"{'a': 0, 'e': 0}",30,22,-8.007888919685861,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,-48.779965187580984,"{0: 4, 1: 0, 2: 6, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,10,-50.76350804522131,"{0: 4, 1: 0, 2: 6, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,12,-42.15307019386337,"{0: 4, 1: 0, 2: 3, 3: 1, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,23,0.7016445482186475,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,13,-23.244444298203486,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,14,-12.095571998076181,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
