trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-185.87579024648144,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",30,0,-131.71509804044055,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",25,0,-100.80742223291308,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-163.71308626368295,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",30,3,-36.88842760903074,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",30,0,-68.26031802805981,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",30,0,-114.12454141414409,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",30,16,-33.611105968958654,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 0}",1
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,6,-29.453059534707844,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.01, 'e': 0.9048374180359596}",25,6,-24.824618052446272,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",30,2,-78.25780950641852,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 1}",1
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-70.98517995398758,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",25,0,-120.44250002534991,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-75.25401930684234,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,0,-96.2654187064877,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",25,9,-110.4163718797725,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 2}",1
