trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.55623814113932,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-224.3021648678714,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-200.16360391302305,"{0: 14, 1: 2, 2: 11, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-90.52397865897346,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,1,-63.42046727718649,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.4015274624168,"{0: 14, 1: 5, 2: 0, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.10472760952834,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.50655193773794,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,11,-59.3016672639155,"{0: 4, 1: 3, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-112.2014616439468,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.77054674867365,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.29473883464694,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-214.92008861799252,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-183.72092027235675,"{0: 20, 1: 1, 2: 12, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.73555692662015,"{0: 11, 1: 7, 2: 0, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.61710028642082,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.15288231970325,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-119.54833026851902,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.136325260130576,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,10,-33.99232818042276,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.05764665933891,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.67283239974755,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.46897684786839,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-125.10511191191117,"{0: 22, 1: 3, 2: 9, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.7353552896512,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-84.35001403678098,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-154.80392713371714,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-158.46410964091058,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.76514187321777,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-80.09046677667693,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
